Location/Emplacement,Province/ Province,Collection Start/Début du prélèvement (UTC),Collection Time/Durée d'échantillonnage (s),AirVolume/Volume d'air (m3),7Be Activity/7Be Activité (mBq/m3),7Be Uncertainty/7Be Incertitude (mBq/m3),7Be MDC/7Be CMD (mBq/m3),210Pb Activity/210Pb Activité (mBq/m3),210Pb Uncertainty/210Pb Incertitude (mBq/m3),210Pb MDC/210Pb CMD (mBq/m3),134Cs Activity/134Cs Activité (mBq/m3),134Cs Uncertainty/134Cs Incertitude (mBq/m3),134Cs MDC/134Cs CMD (mBq/m3),137Cs Activity/137Cs Activité (mBq/m3),137Cs Uncertainty/137Cs Incertitude (mBq/m3),137Cs MDC/137Cs CMD (mBq/m3),131I Activity/131I Activité (mBq/m3),131I Uncertainty/131I Incertitude (mBq/m3),131I MDC/131I CMD (mBq/m3),Comments,
Alert,NU,2009-01-05,605280,1852,2.775335867,0.119936138,0.183023134,0.89829948,0.047442672,0.079679499,,,0.017733688,,,0.014081354,,,1.402004389,,
Alert,NU,2009-01-12,602040,1838,2.5117658,0.112780987,0.186647347,1.063668767,0.053208008,0.081384016,,,0.015255626,,,0.014959141,,,1.572990441,,
Alert,NU,2009-01-19,594900,1952,2.623490101,0.125647918,0.215236752,1.288999629,0.05970508,0.080147947,,,0.014540988,,,0.013356787,,,7.825900801,,
Alert,NU,2009-01-26,606180,2108,1.531583176,0.087783134,0.18236677,0.284710568,0.023875585,0.070766102,,,0.014750844,,,0.012980539,,,3.896823386,,
Alert,NU,2009-02-02,605220,2030,3.542633461,0.137878311,0.182480566,0.99031801,0.049049668,0.073522693,,,0.015938758,,,0.013103509,,,2.43654754,,
Alert,NU,2009-02-09,599400,2106,3.804872199,0.137241224,0.149950647,0.742311644,0.040210496,0.070152819,,,0.012216993,,,0.012999695,,,1.271324814,,
Alert,NU,2009-02-16,616560,2176,3.752351123,0.150110942,0.203563424,0.600015362,0.034689476,0.070540256,,,0.014811145,,,0.012786686,,,7.699883543,,
Alert,NU,2009-02-23,600840,2035,4.145233915,0.156978919,0.196164561,0.610275012,0.035834855,0.074351381,,,0.014513027,,,0.013521044,,,4.999173339,,
Alert,NU,2009-03-02,593580,2080,4.156503795,0.152240223,0.176490721,0.584998842,0.034813217,0.074383803,,,0.0108772,,,0.012755761,,,2.360359766,,
Alert,NU,2009-03-09,605460,2132,3.443815214,0.129225856,0.159020332,0.847429075,0.043456123,0.070879447,,,0.012650246,,,0.013120412,,,1.366838464,,
Alert,NU,2009-03-16,602880,2068,3.702872148,0.150920794,0.213524574,0.680820252,0.038145189,0.071168412,,,0.014421406,,,0.013028784,,,8.518320508,,
Alert,NU,2009-03-23,599100,2164,4.265466609,0.157675006,0.185268844,0.666223931,0.037111379,0.069639085,,,0.013623913,,,0.012885919,,,4.115847871,,
Alert,NU,2009-03-30,608520,2084,4.410279595,0.158358073,0.181352429,0.928482018,0.046544878,0.071740855,,,0.012630962,,,0.013790802,,,2.519753063,,
Alert,NU,2009-04-06,606480,2081,4.583818269,0.157121762,0.157532253,0.931258018,0.046936131,0.07568892,,,0.015407773,,,0.012842946,,,1.539894263,,
Alert,NU,2009-04-13,597780,2052,4.864675059,0.162400401,0.166230326,0.921244437,0.04661872,0.073863965,,,0.013440828,,,0.013459686,,,1.260452089,,
Alert,NU,2009-04-20,696000,2226,4.542114198,0.146242271,0.137501615,0.746849004,0.039772093,0.068886067,,,0.012553081,,,0.01204322,,,0.68779022,,
